flight_id,waypoint,longitude,latitude,altitude,time,n_engine,takeoff_mass,level,air_pressure,air_temperature,specific_humidity,u_wind,v_wind,rhi,true_airspeed,segment_length,sin_a,cos_a,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,wingspan,G,T_sat_liquid,rh,rh_critical_sac,sac,T_critical_sac,width,depth,rhi_1,air_temperature_1,specific_humidity_1,altitude_1,persistent_1,rho_air_1,iwc_1,n_ice_per_m_1,ef,contrail_age,global_yearly_mean_rf,atr20,sdr_mean,rsr_mean,olr_mean,rf_sw_mean,rf_lw_mean,rf_net_mean,cocip
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,336,-20.0046,42.00113333333333,11277.6,2023-02-05 06:38:00,2.0,196741.0,216.62374173827783,21662.374173827782,215.12244,9.620467e-06,0.45851865,-8.752986,0.2380139777381388,232.65466394083904,14115.771200649811,0.01727768382315907,0.9998507296800393,167218.18282743992,0.3688032671881741,1.367049910754037,82.02299464524222,93464.5298466299,0.0,0.6835249553770185,0.410966795356205,0.013029921364008523,0.0005884128963329348,0.00011952136956762735,6.928509317665273e-05,670792696143555.1,259.11064008432015,100.88828341364793,0.09842759357429065,0.0020087263994753198,0.0016404598929048442,1.0687531702679982,0.04826338784510778,0.009803500656037514,0.005682970826623695,5.502042572385042e+16,60.3,1.5798936846382519,230.81008213006152,0.1345506321156919,0.0,1.0,221.84765560110466,47.359508653654885,54.60191963550685,0.24120795968959494,215.14279,9.733957e-06,11250.299040182246,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,337,-19.8338,42.0032,11277.6,2023-02-05 06:39:00,2.0,196741.0,216.62374173827783,21662.374173827782,215.03342,9.7729535e-06,0.41651192,-8.133727,0.24466347228167074,233.57291539127755,13874.965770715702,0.025023061469146516,0.9996868741734641,167136.15983279468,0.3681454796921862,1.3033332824707031,78.19999694824219,88599.63539460565,0.0,0.6516666412353516,0.3916044676617067,0.012446656304123976,0.0005876097762813694,0.00011935823580715312,6.449152361001411e-05,686149225566392.5,247.03379035949706,96.1859962463379,0.09383999633789061,0.0019151019660794003,0.0015639999389648435,0.9733284849983144,0.04595108271196036,0.009333813675866946,0.0050432369494905925,5.365686734533063e+16,60.3,1.5782491039573536,230.79926387746383,0.13819097366163638,0.0,1.0,221.85128094566207,47.359508653654885,54.438002463011046,0.24855278990671784,215.05469,9.913761e-06,11250.380998768494,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,338,-19.66593333333333,42.0062,11277.6,2023-02-05 06:40:00,2.0,196741.0,216.62374173827783,21662.374173827782,214.94968,9.891888e-06,0.31190705,-7.527849,0.25041437805685024,232.63682237295527,13725.627046809484,0.0252741989733729,0.9996805564110239,167057.95983584644,0.3687849919091574,1.3091160167253522,78.54696100352113,89506.0467905114,4.0,0.6545580083626761,0.3923828118280726,0.012478469766718858,0.0005868549161217722,0.00011920490483723496,6.483722134762739e-05,682177535314745.4,248.12984981012323,96.612762034331,0.09425635320422535,0.0019235990449841909,0.0015709392200704225,0.9801458781500836,0.04609567021134151,0.009363183011678742,0.005092766696768757,5.3582972263845464e+16,60.3,1.5798482550294526,230.80978342262017,0.1413245987357701,0.0,1.0,221.87261019432307,47.359508653654885,54.573057423801274,0.2550209317771378,214.97041,1.0058327e-05,11250.3134712881,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,339,-19.499866666666666,42.0092,11278.8192,2023-02-05 06:41:00,2.0,196741.0,216.58209857699225,21658.209857699225,214.86981,9.971858e-06,0.14706656,-6.940753,0.255087164255013,232.09182526077657,13766.279402055365,0.025205403599076467,0.9996822933459449,166979.41287484294,0.36822626816700965,1.321060621759598,79.26363730557587,90397.64737350278,0.0,0.660530310879799,0.39526669981598245,0.012573236058611567,0.0005862506173036896,0.00011908215663981192,6.56682272415623e-05,678031604121360.2,250.39383024831415,97.49427388585832,0.09511636476669104,0.0019411503013610416,0.0015852727461115172,0.9966004227071755,0.04646835630012961,0.009438884873463825,0.0052051025465753315,5.37432511507933e+16,60.3,1.578147798446554,230.7985971508054,0.14385004197595622,0.0,1.0,221.87180122773003,47.359508653654885,54.40714402670879,0.2603941022093593,214.8885,1.0161003e-05,11251.615627986646,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,340,-19.3333,42.0122,11278.8192,2023-02-05 06:42:00,2.0,196741.0,216.58209857699225,21658.209857699225,214.79012,9.951259e-06,-0.13648333,-6.3499117,0.2572764233548962,231.9903856860129,13819.231833080168,0.0248481858951811,0.9996912361613052,166900.14923753735,0.3681221713256221,1.3505906957391196,81.03544174434718,92432.60648019155,0.0,0.6752953478695598,0.40350767346775446,0.012833450102193786,0.0005855333871197573,0.00011893646925870069,6.785458445571083e-05,672103057448904.1,255.99096047039274,99.67359334554703,0.09724253009321661,0.0019845414304738083,0.0016207088348869434,1.039964298135311,0.04744895668131338,0.00963806932589178,0.005498626225747641,5.4464168158098296e+16,60.3,1.577887811161661,230.7968859108154,0.14497312573588747,0.0,1.0,221.8744389093126,47.359508653654885,53.61916991301876,0.2630217721047533,214.80263,1.0147459e-05,11252.009615043491,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,341,-19.166083333333333,42.015166666666666,11278.8192,2023-02-05 06:43:00,2.0,196741.0,216.58209857699225,21658.209857699225,214.7102,9.915211e-06,-0.46750128,-5.775387,0.2590892594784357,232.63604181616503,14003.728383129239,0.0166064682728017,0.9998621030979743,166819.113795793,0.36878419235514676,1.3632695199411167,81.796171196467,93208.70628922227,-4.0,0.6816347599705583,0.4070218880028193,0.01294902711559979,0.0005848147764966439,0.00011879050147588078,6.882872960072265e-05,671757446193733.9,258.39410480963926,100.60929057165441,0.09815540543576039,0.0020031715395053143,0.0016359234239293398,1.0591808387752937,0.04783560957654307,0.00971660819523531,0.005629926549656046,5.494718707136413e+16,60.3,1.5795427046237198,230.8077741786725,0.14588205543072327,0.0,1.0,221.88782691348777,47.359508653654885,52.497842091167605,0.26514136939271354,214.71542,1.0111937e-05,11252.570278954416,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,342,-18.9966,42.017133333333334,11277.6,2023-02-05 06:44:00,2.0,196741.0,216.62374173827783,21662.374173827782,214.62912,9.869987e-06,-0.8581637,-5.1974163,0.2607622309298614,233.53778042573256,14117.617537896333,0.01675115459945372,0.9998596895662837,166737.31762459653,0.3697066135107053,1.3414293190019542,80.48575914011725,91589.84491877125,0.0,0.6707146595009771,0.40025881559899046,0.012750960015007012,0.0005839717901258073,0.00011861926986930458,6.71880101498305e-05,679103214803595.5,254.25451312363037,98.99748374234422,0.0965829109681407,0.001971079815676341,0.001609715182802345,1.0262706965731203,0.04700141284468883,0.009547161984077417,0.005407678002023011,5.4658137777961496e+16,60.3,1.5821581693276232,230.8249618655058,0.1467091192541088,0.0,1.0,221.90668532916644,47.359508653654885,51.151395035998405,0.267005717629506,214.62582,1.0061205e-05,11252.024302482001,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,343,-18.825733333333332,42.01913333333333,11277.6,2023-02-05 06:45:00,2.0,196741.0,216.62374173827783,21662.374173827782,214.54459,9.822937e-06,-1.335558,-4.7038813,0.26246362247470095,233.69595490801987,13968.493006301078,0.016908855195214345,0.9998570350885108,166656.83186545642,0.3698681555126164,1.3420399396823792,80.52239638094275,91609.52795771879,0.0,0.6710199698411896,0.39993046052084213,0.012749181282992957,0.0005832131115000201,0.00011846516327344156,6.721125318546325e-05,679584850860194.6,254.37025016739813,99.04254754855958,0.0966268756571313,0.0019719770542271694,0.0016104479276188549,1.0265946288016552,0.046961717338767583,0.009539098834437163,0.005412011170259774,5.4721800735448456e+16,60.3,1.5825637749167538,230.82762507177182,0.14754585294497535,0.0,1.0,221.9122687802646,47.359508653654885,49.98932072144924,0.2687169467307646,214.53229,1.000097e-05,11252.605339639276,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,344,-18.656666666666666,42.02113333333333,11277.6,2023-02-05 06:46:00,2.0,196741.0,216.62374173827783,21662.374173827782,214.45833,9.75518e-06,-1.8450869,-4.2643166,0.2636744259113994,233.84466835015388,14039.530375657745,0.016305378177026906,0.9998670584845288,166576.30946907547,0.3700199642884092,1.332468788792944,79.94812732757664,90935.65255825923,4.0,0.666234394396472,0.3965561296539499,0.012653981314617575,0.0005824397110768736,0.00011830806631248993,6.646795323053472e-05,682014993808234.1,252.5561342278146,98.33619661291927,0.09593775279309197,0.0019579133223079992,0.0015989625465515328,1.0116621093418217,0.046564964181810845,0.009458508349430326,0.005313988388078199,5.4525821564297096e+16,60.3,1.5829451315561158,230.83012850771092,0.14810301057202335,0.0,1.0,221.9166572880439,47.359508653654885,48.95547859202494,0.269763536450462,214.43813,9.915215e-06,11253.122260703987,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,345,-18.486733333333333,42.02306666666667,11278.8192,2023-02-05 06:47:00,2.0,196741.0,216.58209857699225,21658.209857699225,214.3703,9.664458e-06,-2.3893487,-3.8798358,0.26426401204484534,233.6839957239208,13949.89028047929,0.008957777400802601,0.9999598783071438,166496.3613417479,0.36985594443048353,1.306802953158349,78.40817718950093,89205.8218319535,0.0,0.6534014765791745,0.38833865808146056,0.012408567477201423,0.0005817652483013696,0.0001181710660612157,6.452374733900227e-05,686383811817232.6,247.69143174163344,96.44205794308614,0.09408981262740111,0.0019202002577020634,0.0015681635437900185,0.9729331574202877,0.04561515267150779,0.009265577886400022,0.005059189414287079,5.381810353697064e+16,60.3,1.5822287293400141,230.82542520601498,0.14830768574627526,0.0,1.0,221.91311511133412,47.359508653654885,48.10475732852117,0.2700497332430384,214.34297,9.802771e-06,11254.76682133574,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0
